contig	window	npos	sum_depth
CP102536.1	0	999	77910
CP102536.1	1000	1000	75357
CP102536.1	2000	1000	76264
CP102536.1	3000	1000	76960
CP102536.1	4000	1000	84666
CP102536.1	5000	1000	87628
CP102536.1	6000	1000	81467
CP102536.1	7000	1000	76816
CP102536.1	8000	1000	78924
CP102536.1	9000	1000	80097
CP102536.1	10000	1000	81897
CP102536.1	11000	1000	88533
CP102536.1	12000	1000	86934
CP102536.1	13000	1000	79712
CP102536.1	14000	1000	75772
CP102536.1	15000	1000	72978
CP102536.1	16000	1000	75687
CP102536.1	17000	1000	82520
CP102536.1	18000	1000	75239
CP102536.1	19000	1000	70844
CP102536.1	20000	1000	54083
CP102536.1	21000	1000	1880
CP102536.1	22000	1000	69452
CP102536.1	23000	1000	83291
CP102536.1	24000	1000	105118
CP102536.1	25000	1000	62267
CP102536.1	26000	1000	60482
CP102536.1	27000	1000	60715
CP102536.1	28000	1000	52722
CP102536.1	29000	1000	50059
CP102536.1	30000	1000	60167
CP102536.1	31000	1000	65574
CP102536.1	32000	1000	57076
CP102536.1	33000	1000	55926
CP102536.1	34000	1000	62036
CP102536.1	35000	1000	69831
CP102536.1	36000	1000	73742
CP102536.1	37000	1000	78908
CP102536.1	38000	1000	75235
CP102536.1	39000	1000	69161
CP102536.1	40000	1000	62708
CP102536.1	41000	1000	58603
CP102536.1	42000	1000	60143
CP102536.1	43000	1000	57210
CP102536.1	44000	1000	53373
CP102536.1	45000	1000	29014
CP102536.1	46000	1000	58093
CP102536.1	47000	1000	70326
CP102536.1	48000	1000	70685
CP102536.1	49000	1000	66530
CP102536.1	50000	1000	68204
CP102536.1	51000	1000	71632
CP102536.1	52000	1000	70482
CP102536.1	53000	1000	12655
CP102536.1	54000	1000	24046
CP102536.1	55000	1000	73238
CP102536.1	56000	1000	69249
CP102536.1	57000	1000	72447
CP102536.1	58000	1000	64319
CP102536.1	59000	1000	69909
CP102536.1	60000	1000	59879
CP102536.1	61000	1000	71228
CP102536.1	62000	1000	64147
CP102536.1	63000	1000	60397
CP102536.1	64000	1000	58512
CP102536.1	65000	1000	62065
CP102536.1	66000	1000	57501
CP102536.1	67000	1000	59229
CP102536.1	68000	1000	60014
CP102536.1	69000	1000	64953
CP102536.1	70000	1000	67480
CP102536.1	71000	1000	66083
CP102536.1	72000	1000	60737
CP102536.1	73000	1000	60638
CP102536.1	74000	1000	60550
CP102536.1	75000	1000	66304
CP102536.1	76000	1000	72160
CP102536.1	77000	1000	68107
CP102536.1	78000	1000	76196
CP102536.1	79000	1000	82489
CP102536.1	80000	1000	85397
CP102536.1	81000	1000	86347
CP102536.1	82000	1000	85762
CP102536.1	83000	1000	77411
CP102536.1	84000	1000	70941
CP102536.1	85000	1000	72042
CP102536.1	86000	1000	81058
CP102536.1	87000	1000	84226
CP102536.1	88000	1000	78180
CP102536.1	89000	1000	69506
CP102536.1	90000	1000	66214
CP102536.1	91000	1000	64880
CP102536.1	92000	1000	70276
CP102536.1	93000	1000	74282
CP102536.1	94000	1000	70105
CP102536.1	95000	1000	72846
CP102536.1	96000	1000	63865
CP102536.1	97000	1000	67818
CP102536.1	98000	1000	69444
CP102536.1	99000	1000	69481
CP102536.1	100000	1000	68102
CP102536.1	101000	1000	75818
CP102536.1	102000	1000	71086
CP102536.1	103000	1000	67665
CP102536.1	104000	1000	64732
CP102536.1	105000	1000	64486
CP102536.1	106000	1000	61894
CP102536.1	107000	1000	66671
CP102536.1	108000	1000	61233
CP102536.1	109000	1000	57313
CP102536.1	110000	1000	56346
CP102536.1	111000	1000	54902
CP102536.1	112000	1000	63412
CP102536.1	113000	1000	61068
CP102536.1	114000	1000	66100
CP102536.1	115000	1000	71208
CP102536.1	116000	1000	61424
CP102536.1	117000	1000	58853
CP102536.1	118000	1000	66070
CP102536.1	119000	1000	61963
CP102536.1	120000	1000	59309
CP102536.1	121000	1000	57358
CP102536.1	122000	1000	56731
CP102536.1	123000	1000	56389
CP102536.1	124000	1000	61722
CP102536.1	125000	1000	69598
CP102536.1	126000	1000	77133
CP102536.1	127000	1000	66099
CP102536.1	128000	1000	67790
CP102536.1	129000	1000	112129
CP102536.1	130000	1000	102668
CP102536.1	131000	1000	70582
CP102536.1	132000	1000	66521
CP102536.1	133000	1000	74901
CP102536.1	134000	1000	72192
CP102536.1	135000	1000	73139
CP102536.1	136000	1000	71479
CP102536.1	137000	1000	74179
CP102536.1	138000	1000	73931
CP102536.1	139000	1000	76406
CP102536.1	140000	1000	75404
CP102536.1	141000	1000	75219
CP102536.1	142000	1000	74803
CP102536.1	143000	1000	71818
CP102536.1	144000	1000	64030
CP102536.1	145000	1000	60293
CP102536.1	146000	1000	65908
CP102536.1	147000	1000	70365
CP102536.1	148000	1000	76220
CP102536.1	149000	1000	73309
CP102536.1	150000	1000	72230
CP102536.1	151000	1000	78091
CP102536.1	152000	1000	70675
CP102536.1	153000	1000	73396
CP102536.1	154000	1000	74761
CP102536.1	155000	1000	76479
CP102536.1	156000	1000	75116
CP102536.1	157000	1000	65323
CP102536.1	158000	1000	60299
CP102536.1	159000	1000	60545
CP102536.1	160000	1000	61876
CP102536.1	161000	1000	62980
CP102536.1	162000	1000	65860
CP102536.1	163000	1000	68042
CP102536.1	164000	1000	61819
CP102536.1	165000	1000	72969
CP102536.1	166000	1000	76659
CP102536.1	167000	1000	72171
CP102536.1	168000	1000	69745
CP102536.1	169000	1000	68617
CP102536.1	170000	1000	64251
CP102536.1	171000	1000	64394
CP102536.1	172000	1000	56194
CP102536.1	173000	1000	58206
CP102536.1	174000	1000	64666
CP102536.1	175000	1000	70076
CP102536.1	176000	1000	64055
CP102536.1	177000	1000	71893
CP102536.1	178000	1000	69679
CP102536.1	179000	1000	64550
CP102536.1	180000	1000	73386
CP102536.1	181000	1000	71225
CP102536.1	182000	1000	68724
CP102536.1	183000	1000	68592
CP102536.1	184000	1000	72470
CP102536.1	185000	1000	71096
CP102536.1	186000	1000	69773
CP102536.1	187000	1000	60986
CP102536.1	188000	1000	67787
CP102536.1	189000	1000	75899
CP102536.1	190000	1000	81952
CP102536.1	191000	1000	81891
CP102536.1	192000	1000	78117
CP102536.1	193000	1000	70018
CP102536.1	194000	1000	68189
CP102536.1	195000	1000	65321
CP102536.1	196000	1000	65264
CP102536.1	197000	1000	68421
CP102536.1	198000	1000	69131
CP102536.1	199000	1000	62581
CP102536.1	200000	1000	60214
CP102536.1	201000	1000	62749
CP102536.1	202000	1000	60412
CP102536.1	203000	1000	48797
CP102536.1	204000	1000	50067
CP102536.1	205000	1000	46435
CP102536.1	206000	1000	55483
CP102536.1	207000	1000	60189
CP102536.1	208000	1000	57235
CP102536.1	209000	1000	56265
CP102536.1	210000	1000	50620
CP102536.1	211000	1000	51436
CP102536.1	212000	1000	52908
CP102536.1	213000	1000	52430
CP102536.1	214000	1000	50606
CP102536.1	215000	1000	58043
CP102536.1	216000	1000	61591
CP102536.1	217000	1000	62690
CP102536.1	218000	1000	63220
CP102536.1	219000	1000	71406
CP102536.1	220000	1000	77870
CP102536.1	221000	1000	73449
CP102536.1	222000	1000	68335
CP102536.1	223000	1000	64214
CP102536.1	224000	1000	62580
CP102536.1	225000	1000	70111
CP102536.1	226000	1000	65182
CP102536.1	227000	1000	68310
CP102536.1	228000	1000	71073
CP102536.1	229000	1000	70599
CP102536.1	230000	1000	62920
CP102536.1	231000	1000	63642
CP102536.1	232000	1000	49130
CP102536.1	233000	1000	0
CP102536.1	234000	1000	0
CP102536.1	235000	1000	0
CP102536.1	236000	1000	0
CP102536.1	237000	1000	0
